Year,STATEID,State Abbreviation,CUSTOTT,JURTOTT,STATE POP,CUSTRATE,JURRATE
1990,39,OH,31501,31822,"10,864,162",0.289953335,0.292908003
1990,40,OK,10502,12285,"3,148,825",0.333521234,0.39014553
1990,41,OR,6236,6492,"2,860,375",0.218013372,0.226963248
1990,42,PA,21903,22290,"11,903,299",0.184007812,0.187259011
1990,44,RI,2377,2392,"1,005,995",0.236283481,0.237774542
1990,45,SC,15621,17319,"3,501,155",0.446167051,0.494665332
1990,46,SD,1360,1341,"697,101",0.195093681,0.192368107
1990,47,TN,8519,10388,"4,894,492",0.174052792,0.212238573
1990,48,TX,50042,50042,"17,056,755",0.293385231,0.293385231
1990,49,UT,2543,2496,"1,731,223",0.146890377,0.144175534
1990,50,VT,992,1049,"564,798",0.175638016,0.185730119
1990,51,VA,14624,17593,"6,216,884",0.235230382,0.282987426
1990,53,WA,7384,7995,"4,903,043",0.150600352,0.163062
1990,54,WV,1565,1565,"1,792,548",0.087305891,0.087305891
1990,55,WI,7247,7465,"4,904,562",0.147760391,0.152205233
1990,56,WY,1110,1110,"453,690",0.244660451,0.244660451
1991,1,AL,16443,16760,"4,099,156",0.401131355,0.408864654
1991,2,AK,2483,2706,"570,193",0.435466588,0.474576152
1991,4,AZ,15415,15415,"3,788,576",0.406881108,0.406881108
1991,5,AR,7479,7766,"2,383,144",0.313829127,0.325872041
1991,6,CA,101808,101808,"30,470,736",0.334117299,0.334117299
1991,8,CO,8311,8392,"3,387,119",0.245370771,0.247762184
1991,9,CT,10573,10977,"3,302,895",0.320113113,0.332344807
1991,10,DE,3308,3717,"683,080",0.484277098,0.544152954
1991,11,DC,8603,10455,"600,870",1.431757285,1.739977033
1991,12,FL,46449,46533,"13,369,798",0.347417366,0.348045647
1991,13,GA,23743,23743,"6,653,005",0.356876329,0.356876329
1991,15,HI,2444,2700,"1,136,754",0.214998144,0.237518408
1991,16,ID,2059,2143,"1,041,316",0.197730564,0.20579728
1991,17,IL,29115,29115,"11,568,964",0.251664713,0.251664713
1991,18,IN,13008,13719,"5,616,388",0.23160793,0.244267312
1991,19,IA,4145,4145,"2,797,613",0.148162022,0.148162022
1991,20,KS,5911,5903,"2,498,722",0.23656093,0.236240766
1991,21,KY,8933,9799,"3,722,328",0.239984225,0.263249235
1991,22,LA,14975,20003,"4,253,279",0.3520813,0.470295976
1991,23,ME,1564,1579,"1,237,081",0.126426645,0.127639176
1991,24,MD,18983,19291,"4,867,641",0.389983567,0.396311067
1991,25,MA,9415,9415,"6,018,470",0.156435107,0.156435107
1991,26,MI,36423,36423,"9,400,446",0.38746034,0.38746034
1991,27,MN,3516,3472,"4,440,859",0.079173872,0.078183072
1991,28,MS,8149,8904,"2,598,733",0.313575885,0.342628504
1991,29,MO,15897,15897,"5,170,800",0.307437921,0.307437921
1991,30,MT,1441,1478,"809,680",0.177971544,0.182541251
1991,31,NE,2591,2526,"1,595,919",0.162351598,0.15827871
1991,32,NV,5842,5823,"1,296,171",0.450712136,0.44924628
1991,33,NH,1518,1533,"1,109,929",0.136765505,0.138116943
1991,34,NJ,19072,23483,"7,814,676",0.244053624,0.300498703
1991,35,NM,3137,3119,"1,555,305",0.201696773,0.200539444
1991,36,NY,57862,57862,"18,122,510",0.319282483,0.319282483
1991,37,NC,19116,18903,"6,784,280",0.281769031,0.27862942
1991,38,ND,551,492,"635,753",0.086668879,0.077388546
1991,39,OH,35446,35744,"10,945,762",0.323833096,0.326555611
1991,40,OK,11107,13340,"3,175,440",0.349778298,0.420099262
1991,41,OR,6603,6732,"2,928,507",0.225473253,0.229878228
1991,42,PA,23405,23388,"11,982,164",0.195331995,0.195190118
1991,44,RI,2783,2771,"1,010,649",0.27536761,0.274180254
1991,45,SC,16082,18269,"3,570,404",0.450425218,0.51167879
1991,46,SD,1391,1374,"703,669",0.19767817,0.195262261
1991,47,TN,9456,11474,"4,966,587",0.190392316,0.23102384
1991,48,TX,51677,51677,"17,398,005",0.297028309,0.297028309
1991,49,UT,2794,2625,"1,779,780",0.156985695,0.147490139
1991,50,VT,1088,1118,"568,606",0.191345149,0.19662121
1991,51,VA,16928,19829,"6,301,217",0.268646517,0.314685243
1991,53,WA,9205,9156,"5,025,624",0.183161335,0.182186331
1991,54,WV,1573,1502,"1,798,735",0.087450347,0.083503129
1991,55,WI,7686,7854,"4,964,343",0.154824113,0.158208246
1991,56,WY,1099,1099,"459,260",0.239298001,0.239298001
1992,1,AL,17151,17453,"4,154,014",0.412877761,0.420147838
1992,2,AK,2498,2865,"588,736",0.424298837,0.486635776
1992,4,AZ,16477,16477,"3,915,740",0.420788919,0.420788919
1992,5,AR,7709,8285,"2,415,984",0.319083239,0.342924456
1992,6,CA,109496,109496,"30,974,659",0.353501874,0.353501874
1992,8,CO,8460,8997,"3,495,939",0.241995069,0.257355749
1992,9,CT,11055,11403,"3,300,712",0.334927737,0.345470917
1992,10,DE,3975,4062,"694,925",0.572004173,0.58452351
1992,11,DC,10243,10875,"597,565",1.71412315,1.819885703
1992,12,FL,48302,48302,"13,650,553",0.353846471,0.353846471
1992,13,GA,25290,25290,"6,817,203",0.370973257,0.370973257
1992,15,HI,2674,2926,"1,158,613",0.230793198,0.252543343
1992,16,ID,2164,2256,"1,071,685",0.201925006,0.210509618
1992,17,IL,31640,31640,"11,694,184",0.270561845,0.270561845
1992,18,IN,13945,13945,"5,674,547",0.245746489,0.245746489
1992,19,IA,4518,4518,"2,818,401",0.160303662,0.160303662
1992,20,KS,6033,6028,"2,532,394",0.238233071,0.23803563
1992,21,KY,8720,10364,"3,765,469",0.231578058,0.275237958
1992,22,LA,16233,20980,"4,293,003",0.37812692,0.488702198
1992,23,ME,1510,1519,"1,238,508",0.121920892,0.122647573
1992,24,MD,19677,19977,"4,923,368",0.399665432,0.405758822
1992,25,MA,10053,10053,"6,028,709",0.166752119,0.166752119
1992,26,MI,39113,39113,"9,479,065",0.412625085,0.412625085
1992,27,MN,3849,3822,"4,495,572",0.085617581,0.08501699
1992,28,MS,7873,8905,"2,623,734",0.300068528,0.339401784
1992,29,MO,16189,16195,"5,217,101",0.310306433,0.310421439
1992,30,MT,1466,1548,"825,770",0.177531274,0.1874614
1992,31,NE,2670,2514,"1,611,687",0.165664921,0.155985623
1992,32,NV,5978,6049,"1,351,367",0.442366877,0.447620817
1992,33,NH,1864,1777,"1,117,784",0.166758515,0.158975258
1992,34,NJ,19117,22653,"7,880,508",0.242585884,0.287456088
1992,35,NM,3290,3271,"1,595,442",0.206212448,0.205021555
1992,36,NY,61736,61736,"18,246,653",0.338341503,0.338341503
1992,37,NC,20662,20454,"6,897,214",0.299570232,0.296554522
1992,38,ND,550,477,"638,223",0.086176775,0.074738767
1992,39,OH,37997,38378,"11,029,431",0.344505533,0.347959926
1992,40,OK,12211,14821,"3,220,517",0.379162724,0.460205613
1992,41,OR,6487,6583,"2,991,755",0.216829252,0.220038071
1992,42,PA,24990,24974,"12,049,450",0.207395358,0.207262572
1992,44,RI,2739,2775,"1,012,581",0.270496879,0.27405215
1992,45,SC,16462,18643,"3,620,464",0.4546931,0.514933997
1992,46,SD,1509,1487,"712,801",0.21170004,0.208613624
1992,47,TN,10729,11849,"5,049,742",0.2124663,0.234645651
1992,48,TX,61178,60467,"17,759,738",0.344475803,0.340472365
1992,49,UT,2958,2699,"1,836,799",0.161041028,0.146940411
1992,50,VT,1211,1254,"572,751",0.211435685,0.21894331
1992,51,VA,16934,21199,"6,414,307",0.264003578,0.330495562
1992,53,WA,9981,9959,"5,160,757",0.193401859,0.192975565
1992,54,WV,1674,1674,"1,806,451",0.092667889,0.092667889
1992,55,WI,8191,8191,"5,025,398",0.162992066,0.162992066
1992,56,WY,1064,1063,"466,251",0.228203264,0.227988787
1993,1,AL,18313,18624,"4,214,202",0.434554395,0.441934202
1993,2,AK,2703,2703,"599,432",0.450926877,0.450926877
1993,4,AZ,17811,17811,"4,065,440",0.43810756,0.43810756
1993,5,AR,7702,8625,"2,456,303",0.313560664,0.351137461
1993,6,CA,119951,119951,"31,274,928",0.383537254,0.383537254
1993,8,CO,8902,9462,"3,613,734",0.246337998,0.261834435
1993,9,CT,13384,13691,"3,309,175",0.404451261,0.413728497
1993,10,DE,4129,4210,"706,378",0.584531228,0.595998177
1993,11,DC,10342,10845,"595,301",1.737272405,1.821767476
1993,12,FL,53048,53048,"13,927,185",0.38089535,0.38089535
1993,13,GA,27783,27783,"6,978,240",0.398137639,0.398137639
1993,15,HI,2814,3129,"1,172,838",0.239930834,0.266788764
1993,16,ID,2500,2606,"1,108,768",0.225475483,0.235035643
1993,17,IL,34495,34495,"11,809,579",0.292093393,0.292093393
1993,18,IN,14470,14470,"5,739,019",0.252133683,0.252133683
1993,19,IA,4898,4898,"2,836,972",0.172648866,0.172648866
1993,20,KS,5732,5727,"2,556,547",0.224208669,0.224013093
1993,21,KY,8622,10440,"3,812,206",0.226168261,0.273857184
1993,22,LA,16078,22468,"4,316,428",0.372483915,0.520522988
1993,23,ME,1437,1469,"1,242,302",0.115672357,0.11824822
1993,24,MD,19992,20264,"4,971,889",0.402100691,0.407571448
1993,25,MA,10229,10229,"6,060,569",0.168779532,0.168779532
