Year,FIPS,All Ages in Poverty Percent,Median Household Income in Dollars
2007,27151,11.7,"$40,499 "
2006,27151,10.7,"$39,761 "
2005,27151,9.7,"$38,277 "
2004,27151,9.2,"$37,673 "
2003,27151,9.2,"$35,656 "
2002,27151,9.5,"$35,248 "
2001,27151,9.4,"$35,328 "
2000,27151,9.1,"$36,130 "
1999,27151,9.4,"$34,313 "
1998,27151,12.2,"$33,068 "
1997,27151,12.3,"$30,259 "
1996,27151,NA,NA
1995,27151,11.5,"$26,871 "
1993,27151,13.6,"$24,993 "
1989,27151,13.9,"$21,695 "
2017,27153,13.3,"$49,962 "
2016,27153,12.5,"$46,255 "
2015,27153,12.8,"$48,840 "
2014,27153,17.8,"$43,287 "
2013,27153,13.5,"$43,974 "
2012,27153,15.2,"$46,765 "
2011,27153,16.7,"$41,290 "
2010,27153,16.9,"$40,183 "
2009,27153,14.7,"$41,643 "
2008,27153,13.4,"$42,325 "
2007,27153,13.5,"$39,655 "
2006,27153,14,"$39,662 "
2005,27153,12,"$37,095 "
2004,27153,10.8,"$35,369 "
2003,27153,11.2,"$33,744 "
2002,27153,11.9,"$32,893 "
2001,27153,11.7,"$32,394 "
2000,27153,11.3,"$33,332 "
1999,27153,11.6,"$31,694 "
1998,27153,14.9,"$29,476 "
1997,27153,15,"$27,846 "
1996,27153,NA,NA
1995,27153,15.1,"$25,595 "
1993,27153,16.4,"$24,427 "
1989,27153,18.1,"$20,506 "
2017,27155,13,"$50,692 "
2016,27155,12.7,"$50,416 "
2015,27155,14.4,"$46,764 "
2014,27155,12.2,"$49,536 "
2013,27155,11.9,"$50,451 "
2012,27155,11.8,"$45,907 "
2011,27155,12.4,"$45,815 "
2010,27155,13.2,"$41,666 "
2009,27155,12,"$39,389 "
2008,27155,11.9,"$37,651 "
2007,27155,11.3,"$42,342 "
2006,27155,13.9,"$34,759 "
2005,27155,14,"$32,883 "
2004,27155,10.7,"$34,506 "
2003,27155,10.5,"$33,285 "
2002,27155,9.6,"$32,889 "
2001,27155,10.6,"$32,040 "
2000,27155,10.1,"$32,739 "
1999,27155,11.3,"$30,906 "
1998,27155,14.7,"$29,858 "
1997,27155,13.8,"$29,980 "
1996,27155,NA,NA
1995,27155,13.8,"$27,284 "
1993,27155,14.3,"$26,081 "
1989,27155,15,"$22,155 "
2017,27157,7,"$63,374 "
2016,27157,7.6,"$63,115 "
2015,27157,6.9,"$57,873 "
2014,27157,7.3,"$58,752 "
2013,27157,9.4,"$52,617 "
2012,27157,8.2,"$55,686 "
2011,27157,9.3,"$53,899 "
2010,27157,7.5,"$51,702 "
2009,27157,8.3,"$49,517 "
2008,27157,7.7,"$51,870 "
2007,27157,8.5,"$49,886 "
2006,27157,7.7,"$51,230 "
2005,27157,7,"$52,140 "
2004,27157,6.2,"$47,171 "
2003,27157,6.3,"$45,126 "
2002,27157,6.1,"$44,307 "
2001,27157,6.1,"$43,516 "
2000,27157,5.6,"$43,772 "
1999,27157,6.2,"$41,809 "
1998,27157,7.8,"$40,092 "
1997,27157,7.5,"$38,159 "
1996,27157,NA,NA
1995,27157,6.8,"$34,759 "
1993,27157,8.3,"$32,386 "
1989,27157,7.8,"$27,539 "
2017,27159,15.7,"$45,716 "
2016,27159,14.6,"$40,963 "
2015,27159,15,"$45,597 "
2014,27159,15.8,"$41,909 "
2013,27159,15.5,"$39,805 "
2012,27159,16.9,"$37,577 "
2011,27159,18.2,"$36,097 "
2010,27159,16.8,"$36,412 "
2009,27159,16,"$35,952 "
2008,27159,17.3,"$35,569 "
2007,27159,14.9,"$35,728 "
2006,27159,16.5,"$34,542 "
2005,27159,14.7,"$33,769 "
2004,27159,11.9,"$34,615 "
2003,27159,11.9,"$32,261 "
2002,27159,12.5,"$31,277 "
2001,27159,12.6,"$30,995 "
2000,27159,12,"$32,330 "
1999,27159,12.4,"$30,468 "
1998,27159,16.5,"$28,331 "
1997,27159,16.2,"$27,036 "
1996,27159,NA,NA
1995,27159,16,"$24,984 "
1993,27159,18.3,"$22,952 "
1989,27159,18.6,"$19,629 "
2017,27161,10.3,"$59,246 "
2016,27161,9.3,"$53,383 "
2015,27161,9.9,"$54,495 "
2014,27161,10.1,"$54,183 "
2013,27161,10.3,"$53,448 "
2012,27161,9.9,"$52,927 "
2011,27161,9.9,"$52,660 "
2010,27161,10.7,"$50,149 "
2009,27161,8.5,"$51,100 "
2008,27161,8.8,"$50,589 "
2007,27161,8.5,"$49,108 "
2006,27161,8.6,"$47,232 "
2005,27161,9.2,"$46,085 "
2004,27161,8,"$45,683 "
2003,27161,8,"$43,650 "
2002,27161,8,"$43,028 "
2001,27161,8,"$42,793 "
2000,27161,7.2,"$43,489 "
1999,27161,7.4,"$41,304 "
1998,27161,8.8,"$39,521 "
1997,27161,8.5,"$38,187 "
1996,27161,NA,NA
1995,27161,7.3,"$34,810 "
1993,27161,9.3,"$32,352 "
1989,27161,8.5,"$27,971 "
2017,27163,4.2,"$92,582 "
2016,27163,4.5,"$90,755 "
2015,27163,5.1,"$88,329 "
2014,27163,6,"$84,113 "
2013,27163,5.8,"$81,052 "
2012,27163,5.5,"$80,647 "
2011,27163,5.9,"$77,069 "
2010,27163,5.8,"$77,591 "
2009,27163,5.7,"$75,421 "
2008,27163,4.5,"$79,670 "
2007,27163,4.7,"$78,113 "
2006,27163,4.5,"$76,563 "
2005,27163,3.8,"$73,976 "
2004,27163,4.6,"$74,676 "
2003,27163,4.7,"$72,210 "
2002,27163,3.9,"$71,148 "
2001,27163,3.7,"$69,880 "
2000,27163,3.3,"$69,625 "
1999,27163,3.4,"$66,955 "
1998,27163,3.8,"$65,748 "
1997,27163,4,"$61,994 "
1996,27163,NA,NA
1995,27163,3.6,"$59,790 "
1993,27163,4.8,"$53,354 "
1989,27163,4.2,"$46,127 "
2017,27165,11.2,"$50,678 "
2016,27165,11.3,"$49,482 "
2015,27165,11.3,"$48,044 "
2014,27165,10.4,"$48,658 "
2013,27165,11.2,"$48,064 "
2012,27165,12,"$47,115 "
2011,27165,11.8,"$46,565 "
2010,27165,11.4,"$43,699 "
2009,27165,11.3,"$43,714 "
2008,27165,11.1,"$43,729 "
2007,27165,9.1,"$43,502 "
2006,27165,11.5,"$40,401 "
2005,27165,11.3,"$39,187 "
2004,27165,8.9,"$39,182 "
2003,27165,8.8,"$37,096 "
2002,27165,8.5,"$35,694 "
2001,27165,9.7,"$35,709 "
2000,27165,9,"$36,304 "
1999,27165,8.9,"$34,392 "
1998,27165,10.8,"$33,044 "
1997,27165,10.3,"$31,722 "
1996,27165,NA,NA
1995,27165,10.7,"$28,223 "
1993,27165,12.1,"$26,673 "
1989,27165,11.3,"$23,723 "
2017,27167,9.3,"$58,118 "
2016,27167,8.9,"$54,373 "
2015,27167,9.8,"$56,583 "
2014,27167,10.3,"$54,536 "
2013,27167,11,"$52,849 "
2012,27167,9.6,"$51,940 "
2011,27167,9.6,"$50,004 "
2010,27167,9.5,"$48,611 "
2009,27167,9.1,"$49,747 "
2008,27167,7.7,"$51,743 "
2007,27167,8.9,"$45,030 "
2006,27167,9.9,"$43,055 "
2005,27167,8.8,"$44,460 "
2004,27167,8.3,"$43,741 "
2003,27167,8.3,"$41,809 "
2002,27167,7.2,"$39,718 "
2001,27167,7.8,"$39,041 "
2000,27167,8.2,"$40,175 "
1999,27167,9,"$38,133 "
1998,27167,11.1,"$36,142 "
1997,27167,11.4,"$35,206 "
1996,27167,NA,NA
1995,27167,11.3,"$32,322 "
1993,27167,13.6,"$29,070 "
1989,27167,13.5,"$23,445 "
2017,27169,13.8,"$55,577 "
2016,27169,11.5,"$56,499 "
2015,27169,12.7,"$54,367 "
2014,27169,15.8,"$49,365 "
2013,27169,14.4,"$49,636 "
2012,27169,13.8,"$49,753 "
2011,27169,14.6,"$46,028 "
2010,27169,15.4,"$42,113 "
2009,27169,16.4,"$42,751 "
2008,27169,13.7,"$45,155 "
2007,27169,11.5,"$44,485 "
2006,27169,13,"$41,788 "
2005,27169,14.1,"$40,686 "
2004,27169,9.7,"$41,429 "
2003,27169,9.7,"$39,647 "
2002,27169,9.3,"$38,714 "
2001,27169,9.2,"$38,859 "
2000,27169,8.5,"$39,755 "
1999,27169,8.8,"$38,270 "
1998,27169,9.9,"$38,496 "
1997,27169,10.1,"$36,450 "
1996,27169,NA,NA
1995,27169,9.3,"$33,585 "
1993,27169,11,"$31,260 "
1989,27169,9.9,"$26,768 "
2017,27171,5.4,"$80,805 "
2016,27171,5.3,"$76,256 "
2015,27171,5.1,"$76,407 "
2014,27171,6,"$76,489 "
2013,27171,7.1,"$71,999 "
2012,27171,7,"$72,216 "
2011,27171,6.9,"$68,387 "
2010,27171,5.8,"$66,714 "
2009,27171,6.2,"$67,171 "
2008,27171,5.6,"$66,825 "
2007,27171,5,"$67,391 "
2006,27171,6.1,"$62,311 "
2005,27171,5,"$60,018 "
2004,27171,5.1,"$63,448 "
2003,27171,4.7,"$60,326 "
2002,27171,4.5,"$58,023 "
2001,27171,4.6,"$56,027 "
2000,27171,4.4,"$56,064 "
1999,27171,4.9,"$53,235 "
1998,27171,5.8,"$50,181 "
1997,27171,5.9,"$47,713 "
1996,27171,NA,NA
1995,27171,5.7,"$44,072 "
1993,27171,7.2,"$39,488 "
1989,27171,6.2,"$33,780 "
2017,27173,9.9,"$53,596 "
2016,27173,9.9,"$55,690 "
2015,27173,12.5,"$51,569 "
2014,27173,11.2,"$51,028 "
2013,27173,10.8,"$50,311 "
2012,27173,9.3,"$53,266 "
2011,27173,11.1,"$46,586 "
2010,27173,12.7,"$46,595 "
2009,27173,10,"$46,226 "
2008,27173,9.9,"$46,381 "
2007,27173,11.1,"$44,602 "
2006,27173,12.5,"$41,287 "
2005,27173,9.8,"$38,613 "
2004,27173,8.1,"$39,279 "
2003,27173,8.4,"$36,299 "
2002,27173,8.3,"$35,401 "
2001,27173,9,"$35,199 "
2000,27173,8,"$36,473 "
1999,27173,8.2,"$34,735 "
1998,27173,10.5,"$33,426 "
1997,27173,9.7,"$32,582 "
1996,27173,NA,NA
1995,27173,9.9,"$29,845 "
1993,27173,12.9,"$26,945 "
1989,27173,14.4,"$22,666 "
2017,28001,32.5,"$31,044 "
2016,28001,31.4,"$32,956 "
2015,28001,29.6,"$32,673 "
2014,28001,32.9,"$32,327 "
2013,28001,30.9,"$31,385 "
2012,28001,31.1,"$29,940 "
2011,28001,34.3,"$26,722 "
2010,28001,30.8,"$28,587 "
2009,28001,28.3,"$29,050 "
2008,28001,26.7,"$29,830 "
2007,28001,33.3,"$28,849 "
2006,28001,27.1,"$26,917 "
2005,28001,27.1,"$27,232 "
2004,28001,24.3,"$25,143 "
2003,28001,22.4,"$25,381 "
2002,28001,23,"$25,089 "
2001,28001,23,"$25,154 "
2000,28001,22,"$25,953 "
1999,28001,23.1,"$24,937 "
1998,28001,22.9,"$24,825 "
1997,28001,22.6,"$23,444 "
1996,28001,NA,NA
1995,28001,26.7,"$22,213 "
1993,28001,29.2,"$19,581 "
1989,28001,30.2,"$16,634 "
2017,28003,19.1,"$39,528 "
2016,28003,16.9,"$38,675 "
2015,28003,19.6,"$41,383 "
2014,28003,21.8,"$35,180 "
2013,28003,24.8,"$33,467 "
2012,28003,22.2,"$35,583 "
2011,28003,20.5,"$31,496 "
2010,28003,22.5,"$33,299 "
2009,28003,18.5,"$33,486 "
2008,28003,19.5,"$32,119 "
2007,28003,17.7,"$34,807 "
2006,28003,17.7,"$32,701 "
2005,28003,17.7,"$31,105 "
2004,28003,17.3,"$30,820 "
2003,28003,16.2,"$30,158 "
2002,28003,16.4,"$29,305 "
2001,28003,16.2,"$29,150 "
2000,28003,14.7,"$30,190 "
1999,28003,15.9,"$29,204 "
1998,28003,15.5,"$29,917 "
1997,28003,15.2,"$28,057 "
1996,28003,NA,NA
1995,28003,16.6,"$26,354 "
1993,28003,18.9,"$23,821 "
1989,28003,18.9,"$20,892 "
2017,28005,23.3,"$35,422 "
2016,28005,24,"$34,986 "
2015,28005,22.2,"$37,085 "
2014,28005,23.2,"$30,668 "
2013,28005,24.1,"$33,571 "
2012,28005,28.1,"$32,724 "
2011,28005,20.8,"$32,824 "
2010,28005,22.5,"$31,799 "
