Year,FIPS,All Ages in Poverty Percent,Median Household Income in Dollars
2009,28005,24.6,"$31,019 "
2008,28005,24.2,"$31,767 "
2007,28005,22.3,"$31,557 "
2006,28005,23.4,"$28,727 "
2005,28005,21.4,"$28,549 "
2004,28005,19.8,"$27,769 "
2003,28005,18.5,"$27,609 "
2002,28005,19,"$26,838 "
2001,28005,19.9,"$26,551 "
2000,28005,19.1,"$26,984 "
1999,28005,19.2,"$25,836 "
1998,28005,18.5,"$26,577 "
1997,28005,18.4,"$24,072 "
1996,28005,NA,NA
1995,28005,22.9,"$21,470 "
1993,28005,27,"$17,794 "
1989,28005,27.4,"$15,952 "
2017,28007,24.1,"$35,158 "
2016,28007,23.8,"$31,722 "
2015,28007,22.9,"$32,988 "
2014,28007,23.6,"$32,521 "
2013,28007,26.7,"$31,644 "
2012,28007,27.8,"$33,679 "
2011,28007,26.4,"$30,108 "
2010,28007,24.3,"$29,317 "
2009,28007,23.7,"$29,794 "
2008,28007,25.7,"$29,786 "
2007,28007,23.6,"$29,289 "
2006,28007,22.6,"$28,326 "
2005,28007,23.1,"$28,757 "
2004,28007,21.1,"$26,624 "
2003,28007,20,"$26,544 "
2002,28007,21.3,"$26,003 "
2001,28007,21.9,"$24,711 "
2000,28007,20.2,"$25,581 "
1999,28007,20.7,"$24,417 "
1998,28007,21.4,"$23,448 "
1997,28007,21.5,"$21,854 "
1996,28007,NA,NA
1995,28007,25.1,"$20,598 "
1993,28007,29.1,"$17,293 "
1989,28007,30.6,"$14,438 "
2017,28009,21.8,"$35,797 "
2016,28009,25.3,"$36,400 "
2015,28009,25.3,"$32,467 "
2014,28009,25.6,"$30,665 "
2013,28009,27.8,"$30,198 "
2012,28009,27.4,"$29,037 "
2011,28009,26.8,"$27,834 "
2010,28009,25.9,"$27,586 "
2009,28009,24.4,"$30,149 "
2008,28009,23.3,"$28,723 "
2007,28009,21.7,"$29,880 "
2006,28009,23.3,"$27,780 "
2005,28009,23.7,"$26,114 "
2004,28009,21,"$26,077 "
2003,28009,20,"$25,571 "
2002,28009,20.1,"$24,567 "
2001,28009,22.2,"$23,991 "
2000,28009,21.1,"$24,769 "
1999,28009,20.4,"$24,402 "
1998,28009,19.1,"$24,884 "
1997,28009,19.5,"$23,458 "
1996,28009,NA,NA
1995,28009,24,"$21,108 "
1993,28009,28.1,"$18,008 "
1989,28009,28,"$16,530 "
2017,28011,32.4,"$34,216 "
2016,28011,35.3,"$29,633 "
2015,28011,36.1,"$30,311 "
2014,28011,34,"$29,297 "
2013,28011,37.7,"$29,622 "
2012,28011,36.4,"$28,832 "
2011,28011,33.4,"$28,802 "
2010,28011,33.9,"$28,984 "
2009,28011,35.1,"$27,001 "
2008,28011,35.2,"$28,779 "
2007,28011,39.5,"$26,228 "
2006,28011,38.7,"$25,200 "
2005,28011,36.7,"$24,881 "
2004,28011,30.1,"$24,258 "
2003,28011,27.5,"$23,825 "
2002,28011,29.1,"$22,784 "
2001,28011,28.6,"$23,301 "
2000,28011,27.5,"$24,106 "
1999,28011,28.3,"$23,212 "
1998,28011,28.3,"$22,956 "
1997,28011,29.4,"$21,110 "
1996,28011,NA,NA
1995,28011,35.2,"$19,740 "
1993,28011,40.1,"$16,794 "
1989,28011,46.5,"$14,076 "
2017,28013,21.8,"$35,886 "
2016,28013,21.9,"$34,417 "
2015,28013,23,"$33,906 "
2014,28013,25,"$33,141 "
2013,28013,25.8,"$32,656 "
2012,28013,22.5,"$31,353 "
2011,28013,22.4,"$32,453 "
2010,28013,22.3,"$30,281 "
2009,28013,22.1,"$29,694 "
2008,28013,20.1,"$31,181 "
2007,28013,23.3,"$28,855 "
2006,28013,21.2,"$30,318 "
2005,28013,19.4,"$26,098 "
2004,28013,18.1,"$29,005 "
2003,28013,16.9,"$27,935 "
2002,28013,18.3,"$27,004 "
2001,28013,19.5,"$27,140 "
2000,28013,16.3,"$28,269 "
1999,28013,17.3,"$27,039 "
1998,28013,17.5,"$26,633 "
1997,28013,16.8,"$24,965 "
1996,28013,NA,NA
1995,28013,19,"$23,301 "
1993,28013,22,"$19,965 "
1989,28013,21.4,"$16,957 "
2017,28015,17.6,"$40,798 "
2016,28015,17.4,"$39,622 "
2015,28015,19,"$39,439 "
2014,28015,17.9,"$38,219 "
2013,28015,18.7,"$37,283 "
2012,28015,20.8,"$36,906 "
2011,28015,20.1,"$34,876 "
