FIPS,Year,CancerDeaths,Population
1085,1993,11,12079
1085,1994,14,12124
1085,1995,15,12351
1085,1996,21,12303
1085,1997,14,12381
1085,1998,10,12568
1087,1988,43,23729
1087,1989,32,23601
1087,1990,39,23253
1087,1991,44,22940
1087,1992,44,23215
1087,1993,40,23042
1087,1994,40,22683
1087,1995,39,22406
1087,1996,40,22472
1087,1997,40,22145
1087,1998,37,22318
1089,1988,266,224282
1089,1989,259,228614
1089,1990,257,231064
1089,1991,254,237968
1089,1992,278,245313
1089,1993,275,253375
1089,1994,296,256629
1089,1995,300,255417
1089,1996,289,255934
1089,1997,303,257015
1089,1998,310,261389
1091,1988,26,22121
1091,1989,37,21904
1091,1990,31,21590
1091,1991,30,21514
1091,1992,27,21560
1091,1993,36,21712
1091,1994,38,21650
1091,1995,38,21602
1091,1996,29,21504
1091,1997,33,21517
1091,1998,22,21263
1093,1988,45,28058
1093,1989,43,27931
1093,1990,29,27726
1093,1991,43,27541
1093,1992,56,27744
1093,1993,41,28036
1093,1994,44,28345
1093,1995,48,28684
1093,1996,45,29214
1093,1997,49,29224
1093,1998,45,29286
1095,1988,102,66677
1095,1989,110,66468
1095,1990,110,66745
1095,1991,98,67775
1095,1992,127,69295
1095,1993,118,71202
1095,1994,102,72835
1095,1995,119,74289
1095,1996,125,75586
1095,1997,122,76288
1095,1998,118,76656
1097,1988,549,364658
1097,1989,531,361732
1097,1990,520,361158
1097,1991,541,364754
1097,1992,545,369310
1097,1993,546,375039
1097,1994,567,376450
1097,1995,541,375513
1097,1996,575,375882
1097,1997,544,377064
1097,1998,567,377604
1099,1988,31,21801
1099,1989,22,21974
1099,1990,32,22565
1099,1991,34,22507
1099,1992,33,22771
1099,1993,30,23052
1099,1994,31,23182
1099,1995,31,23292
1099,1996,32,23268
1099,1997,32,23080
1099,1998,33,22938
1101,1988,277,199096
1101,1989,287,200114
1101,1990,288,199174
1101,1991,311,202304
1101,1992,295,205085
1101,1993,280,207710
1101,1994,291,209796
1101,1995,278,210740
1101,1996,290,211471
1101,1997,243,212024
1101,1998,275,212427
1103,1988,129,93489
1103,1989,112,94289
1103,1990,130,95317
1103,1991,123,97203
1103,1992,130,98551
1103,1993,122,100215
