FIPS,Year,DiabDeaths,Population
4013,1993,179,2229707
4013,1994,223,2339072
4013,1995,231,2454348
4013,1996,273,2553488
4013,1997,276,2649432
4013,1998,324,2748207
4015,1979,5,49945
4015,1980,8,53957
4015,1981,2,56238
4015,1982,3,59729
4015,1983,5,60913
4015,1984,2,63922
4015,1985,7,66929
4015,1986,10,71184
4015,1987,10,72963
4015,1988,10,77575
4015,1989,19,81787
4015,1990,14,87685
4015,1991,13,95616
4015,1992,15,101369
4015,1993,12,107899
4015,1994,21,114512
4015,1995,20,121078
4015,1996,25,126414
4015,1997,19,130115
4015,1998,18,133552
4017,1979,6,65297
4017,1980,8,66530
4017,1981,4,65613
4017,1982,4,65689
4017,1983,5,67634
4017,1984,9,67261
4017,1985,10,69210
4017,1986,13,70940
4017,1987,10,72134
4017,1988,13,72843
4017,1990,10,75450
4017,1992,13,77927
4017,1995,12,85571
4017,1996,12,87692
4017,1997,14,89824
4017,1998,13,91610
4019,1979,35,502236
4019,1980,41,510131
4019,1981,43,529244
4019,1982,35,542957
4019,1983,29,555785
4019,1984,39,564374
4019,1985,52,574396
4019,1986,46,591684
4019,1987,53,609240
4019,1988,64,623967
4019,1989,82,629865
4019,1990,50,631154
4019,1991,57,641007
4019,1992,74,657357
4019,1993,65,676671
4019,1994,72,700136
4019,1995,83,720808
4019,1996,82,733949
4019,1997,97,746909
4019,1998,89,759698
4021,1979,11,86783
4021,1980,15,88161
4021,1981,11,89946
4021,1982,17,93421
4021,1983,18,94261
4021,1984,13,96503
4021,1985,11,99120
4021,1986,14,103346
4021,1987,18,106441
4021,1988,21,109106
4021,1989,19,110370
4021,1990,26,110804
4021,1991,19,114747
4021,1992,21,119401
4021,1993,30,124603
4021,1994,33,130452
4021,1995,23,137299
4021,1996,35,143402
4021,1997,34,148872
4021,1998,39,155054
4023,1980,1,19884
4023,1981,1,20087
4023,1982,3,21005
4023,1983,2,21091
4023,1985,5,22744
4023,1986,3,23212
4023,1987,4,24749
4023,1988,3,26029
4025,1979,5,61916
4025,1980,7,63977
4025,1981,6,66321
4025,1982,5,69034
4025,1983,6,71329
4025,1984,5,73760
4025,1985,3,76432
4025,1986,6,82189
4025,1987,17,86456
4025,1988,12,91555
4025,1989,11,95060
4025,1990,10,98555
4025,1992,12,107561
4025,1993,12,113544
4025,1995,18,126985
4025,1996,21,132623
4025,1997,18,137389
4025,1998,14,142464
4027,1979,9,81052
4027,1980,14,87828
4027,1981,7,88827
4027,1982,12,90520
4027,1983,9,93245
4027,1984,5,95130
4027,1985,17,97178
4027,1986,17,99576
4027,1987,8,101574
4027,1988,9,105520
4027,1989,14,111867
4027,1990,16,114942
4027,1991,16,119940
4027,1992,16,126659
4027,1993,20,132646
4027,1994,20,121460
4027,1995,10,124852
4027,1996,20,129595
4027,1997,15,135361
4027,1998,11,139798
5001,1980,1,22767
5001,1981,1,22724
5001,1983,1,22252
5001,1984,1,21810
5001,1985,1,21395
5001,1986,1,20967
5001,1987,2,20534
5001,1988,1,20180
5003,1979,2,25479
5003,1980,3,25179
5003,1981,2,25418
5003,1983,3,24468
5003,1984,1,24523
5003,1985,2,24534
5003,1986,3,23800
5003,1987,5,23614
5003,1988,4,23370
5005,1979,3,25003
5005,1980,2,25133
5005,1981,5,25235
5005,1982,2,25361
5005,1983,6,25882
5005,1984,3,26416
5005,1985,5,26376
5005,1986,4,26714
5005,1987,6,27068
5005,1988,2,27175
5007,1979,4,72543
5007,1980,8,73995
5007,1981,4,74786
5007,1982,6,75468
5007,1983,6,76938
5007,1984,1,78827
5007,1985,7,80445
5007,1986,5,81983
5007,1987,1,84897
5007,1988,6,86812
5007,1993,15,105785
5007,1994,11,111225
5007,1997,13,128680
5007,1998,10,133189
5009,1980,3,24283
5009,1981,1,24400
5009,1982,1,24565
5009,1983,1,24968
5009,1984,1,25338
5009,1985,2,25464
5009,1986,5,25587
5009,1987,1,25736
5009,1988,2,25956
5011,1979,1,13020
5011,1981,2,12495
5011,1982,1,12304
5011,1983,2,12111
5011,1984,1,11986
5011,1985,6,11796
5011,1986,2,11524
5011,1987,2,11217
5011,1988,2,11037
5013,1980,1,5617
5013,1981,2,5605
5013,1982,1,5642
5013,1983,1,5615
5013,1985,1,5620
5013,1986,1,5543
5013,1987,1,5568
5013,1988,1,5503
5015,1979,3,14483
5015,1981,3,15091
5015,1982,1,15140
5015,1983,1,15682
5015,1984,1,15919
5015,1985,1,16196
5015,1986,2,16499
5015,1987,3,16709
5017,1979,2,16929
5017,1980,3,16682
5017,1981,5,16688
5017,1983,1,16662
5017,1984,4,16410
5017,1985,5,15977
5017,1986,6,15674
5017,1987,3,15337
5019,1979,1,22287
5019,1980,3,21996
5019,1981,3,21836
5019,1984,1,21420
5019,1985,1,21274
5019,1986,2,21045
5019,1988,1,20318
5021,1979,2,19793
5021,1980,2,19200
5021,1981,2,18763
5021,1982,5,18582
5021,1983,3,18388
5021,1984,1,18134
5021,1985,1,17720
5021,1986,1,17327
5021,1987,5,17135
5021,1988,1,16886
5023,1980,1,15904
5023,1981,5,15851
5023,1982,1,16150
5023,1983,1,16532
5023,1984,1,16998
5023,1986,1,17143
5023,1988,2,17389
5025,1979,1,7226
5025,1980,2,7355
5025,1983,1,7432
5025,1984,1,7357
5025,1986,2,7399
5025,1987,1,7355
5025,1988,1,7371
5027,1979,4,24639
5027,1980,4,24903
5027,1982,4,25094
5027,1983,2,25075
5027,1985,4,24681
5027,1986,1,24316
5027,1987,3,24166
5029,1979,1,18233
