FIPS,Year,LwrRspDeaths,Population
1079,1986,4,29521
1079,1987,7,29561
1079,1988,4,29638
1079,1989,11,29919
1079,1990,17,29984
1081,1979,5,74156
1081,1980,5,74441
1081,1981,2,75682
1081,1982,4,76923
1081,1983,10,76865
1081,1984,7,77936
1081,1985,9,78741
1081,1986,9,80292
1081,1987,3,80069
1081,1988,5,81914
1081,1991,14,86493
1081,1992,10,88472
1081,1994,12,92842
1081,1995,14,95970
1081,1996,11,98688
1081,1997,11,102913
1083,1979,8,43223
1083,1980,2,44171
1083,1981,5,43942
1083,1982,6,44496
1083,1983,6,45250
1083,1984,6,45555
1083,1985,6,47148
1083,1986,2,47815
1083,1987,6,48961
1083,1988,7,50055
1083,1992,14,54477
1083,1993,12,55760
1083,1994,12,56596
1083,1995,12,57231
1083,1996,10,58264
1083,1997,10,59488
1085,1979,1,12752
1085,1980,1,12707
1085,1982,1,12192
1085,1985,2,12069
1085,1986,1,12015
1085,1987,1,12066
1087,1979,3,25192
1087,1980,1,25395
1087,1981,3,25131
1087,1982,1,24931
1087,1984,2,23987
1087,1985,1,23839
1087,1986,7,23772
1087,1987,2,24044
1087,1988,3,23729
1089,1979,25,190474
1089,1980,20,192259
1089,1981,19,194817
1089,1982,20,197380
1089,1983,17,200869
1089,1984,34,204707
1089,1985,22,209050
1089,1986,30,213618
1089,1987,28,218568
1089,1988,35,224282
1089,1989,37,228614
1089,1990,29,231064
1089,1991,32,237968
1089,1992,41,245313
1089,1993,39,253375
1089,1994,39,256629
1089,1995,33,255417
1089,1996,31,255934
1089,1997,35,257015
1089,1998,35,261389
1091,1979,2,23944
1091,1980,1,23740
1091,1981,1,23307
1091,1982,2,23221
1091,1983,2,23098
1091,1984,5,22891
1091,1985,5,22734
1091,1986,3,22408
1091,1988,3,22121
1093,1979,3,28372
1093,1980,4,28568
1093,1981,7,28776
1093,1982,4,28919
1093,1983,6,29340
1093,1984,2,28964
1093,1985,8,28929
1093,1986,6,28337
1093,1987,4,28379
1093,1988,7,28058
1093,1997,12,29224
1095,1979,5,62235
1095,1980,7,62781
1095,1981,12,63323
1095,1982,12,63646
1095,1983,11,64008
1095,1984,10,64802
1095,1985,15,65820
1095,1986,12,66009
1095,1987,14,66509
1095,1988,17,66677
1095,1990,17,66745
1095,1991,13,67775
1095,1992,19,69295
1095,1993,16,71202
1095,1994,20,72835
1095,1995,16,74289
1095,1996,21,75586
1095,1997,24,76288
1095,1998,21,76656
1097,1979,49,350614
1097,1980,46,353454
1097,1981,64,357962
1097,1982,56,361376
1097,1983,69,362641
1097,1984,72,361431
1097,1985,72,363711
1097,1986,77,366066
1097,1987,66,367457
1097,1988,78,364658
1097,1989,78,361732
1097,1990,82,361158
1097,1991,98,364754
1097,1992,53,369310
1097,1993,92,375039
1097,1994,75,376450
1097,1995,61,375513
1097,1996,65,375882
1097,1997,76,377064
1097,1998,73,377604
1099,1979,1,21424
1099,1980,1,21516
1099,1981,4,21442
1099,1982,3,21400
1099,1983,1,21221
1099,1984,2,21606
1099,1985,4,21504
1099,1986,5,21554
1099,1987,2,21693
1099,1988,2,21801
1101,1979,23,186473
1101,1980,20,189966
1101,1981,33,192034
1101,1982,26,192107
1101,1983,23,192011
1101,1984,29,194077
1101,1985,36,195114
1101,1986,32,197202
1101,1987,29,198532
1101,1988,42,199096
1101,1989,32,200114
1101,1990,41,199174
1101,1991,38,202304
1101,1992,26,205085
1101,1993,48,207710
1101,1994,36,209796
1101,1995,48,210740
1101,1996,42,211471
1101,1997,34,212024
1101,1998,44,212427
1103,1979,7,87564
1103,1980,10,87055
1103,1981,11,86780
1103,1982,16,87065
1103,1983,16,87567
1103,1984,26,88629
1103,1985,18,90034
1103,1986,19,91379
1103,1987,6,92869
1103,1988,14,93489
1103,1989,18,94289
1103,1990,19,95317
1103,1991,13,97203
1103,1992,23,98551
1103,1993,15,100215
1103,1994,20,101023
1103,1995,15,101842
1103,1996,15,102425
1103,1998,25,104373
1105,1981,1,13907
1105,1982,2,13794
1105,1983,3,13847
1105,1984,5,13674
1105,1985,2,13469
1105,1986,1,13051
1105,1987,3,12910
1105,1988,3,12520
1107,1979,3,20712
1107,1980,4,20259
1107,1982,3,20349
1107,1983,2,20377
1107,1984,1,20310
1107,1985,3,20265
1107,1986,1,20112
1107,1987,3,19775
1107,1988,4,19490
1109,1980,2,26624
1109,1981,1,26977
1109,1982,4,26357
1109,1983,1,26274
1109,1984,4,25856
1109,1985,4,26176
1109,1986,6,26192
1109,1987,1,26027
1109,1988,4,25970
1111,1979,3,18696
1111,1980,4,18931
1111,1981,2,18989
1111,1982,2,18994
1111,1983,2,18691
1111,1984,2,18747
1111,1985,3,18422
1111,1986,3,18365
1111,1987,1,18194
1111,1988,3,18424
1113,1979,9,46238
1113,1980,4,45824
1113,1981,4,45170
1113,1982,5,44946
1113,1983,8,44225
1113,1984,8,44618
1113,1985,9,44699
1113,1986,7,45360
1113,1987,5,45384
1113,1988,7,45095
1113,1992,15,46466
1113,1994,10,48878
1113,1995,10,48690
1113,1998,13,47530
1115,1979,5,39038
1115,1980,5,39672
1115,1981,10,40095
1115,1982,9,40404
1115,1983,7,40728
1115,1984,7,42345
1115,1985,12,43453
1115,1986,7,44012
1115,1987,11,45479
1115,1988,9,45953
1115,1989,11,47019
1115,1990,10,47780
1115,1991,16,49021
1115,1993,11,51921
1115,1994,18,53303
1115,1995,17,54948
1115,1996,16,56366
1115,1998,13,58817
1117,1979,4,62644
1117,1980,9,64422
1117,1981,15,67329
1117,1982,4,68820
1117,1983,11,70713
1117,1984,13,73711
1117,1985,9,77263
1117,1986,27,80747
1117,1987,13,85910
1117,1988,11,89905
1117,1989,11,93722
1117,1990,10,96584
1117,1991,14,99778
1117,1992,10,103154
1117,1993,16,108569
1117,1994,11,114076
1117,1995,20,118700
1117,1996,13,122655
1117,1997,11,127395
1117,1998,13,131470
1119,1979,4,15923
1119,1980,3,15983
1119,1982,1,15972
1119,1983,2,15926
1119,1984,2,16020
1119,1985,3,16024
1119,1987,2,15737
1119,1988,2,15461
1121,1979,9,70940
1121,1980,5,71113
1121,1981,10,71525
1121,1982,7,71738
1121,1983,12,72367
1121,1984,12,71827
1121,1985,11,71885
1121,1986,19,71856
1121,1987,12,71110
1121,1988,15,70706
1121,1989,10,70526
1121,1990,13,70258
1121,1991,21,70884
1121,1992,15,71487
1121,1993,19,72127
1121,1994,22,72607
1121,1995,19,73114
1121,1996,14,73666
1121,1997,22,74064
1121,1998,17,74645
1123,1979,5,37280
1123,1980,4,36702
1123,1981,5,36645
1123,1982,6,36251
1123,1983,10,36230
1123,1984,7,36150
1123,1985,11,36239
1123,1986,9,36127
1123,1987,6,36238
1123,1988,10,36247
1123,1989,12,36205
1123,1991,11,36655
1123,1994,13,37434
1123,1995,16,37387
1123,1996,13,38042
1123,1997,10,38256
1123,1998,12,38428
1125,1979,17,130969
1125,1980,17,132801
1125,1981,11,133644
1125,1982,10,132173
1125,1983,21,132593
1125,1984,17,133174
1125,1985,20,135339
1125,1986,25,137623
1125,1987,23,139611
1125,1988,32,140922
1125,1989,18,142217
1125,1990,28,143571
1125,1991,25,146317
1125,1992,16,146600
1125,1993,20,148131
1125,1994,27,149658
1125,1995,24,152682
1125,1996,24,152718
1125,1997,25,154217
1125,1998,19,155431
1127,1979,11,65967
1127,1980,12,65417
1127,1981,9,64792
1127,1982,11,64459
1127,1983,21,64070
1127,1984,15,63999
1127,1985,21,64055
1127,1986,26,64618
1127,1987,11,64647
1127,1988,10,64120
1127,1989,14,63800
1127,1990,16,63578
1127,1991,22,63796
1127,1992,17,63997
1127,1993,14,64273
1127,1994,20,64507
1127,1995,16,65031
1127,1996,21,65604
1127,1997,26,65939
1127,1998,21,66137
1129,1980,2,16175
1129,1981,4,16825
1129,1982,4,16831
1129,1983,1,16662
1129,1984,2,16370
1129,1985,3,16248
1129,1986,5,16112
1129,1987,1,16228
1129,1988,3,16121
1131,1979,2,13746
1131,1980,3,13970
1131,1981,1,14043
1131,1982,1,14162
1131,1983,2,14260
1131,1984,2,13897
1131,1985,1,13829
1131,1986,1,13644
1131,1987,2,13486
1131,1988,3,13088
1133,1979,7,21390
1133,1980,1,21123
1133,1981,3,21037
1133,1982,3,20988
1133,1983,4,20762
1133,1984,4,21034
1133,1985,4,21093
1133,1986,4,20922
1133,1987,8,20621
1133,1988,10,20502
1133,1994,10,21787
1133,1998,11,22821
2020,1989,18,223488
2020,1990,29,224251
2020,1991,25,232951
2020,1992,23,243296
2020,1993,29,247526
2020,1994,17,249431
2020,1995,21,248752
2020,1996,23,247012
2020,1997,24,248607
2020,1998,20,252739
2090,1995,13,80938
2090,1996,11,81823
2900,1979,18,401589
2900,1980,24,400359
2900,1981,20,416677
2900,1982,26,447908
2900,1983,34,486090
2900,1984,38,510540
2900,1985,43,528595
2900,1986,41,538930
2900,1987,39,533273
2900,1988,43,535625
4001,1979,5,51408
4001,1980,1,51331
4001,1981,2,50434
4001,1982,4,51507
4001,1983,3,52307
4001,1984,2,52190
4001,1985,3,52643
4001,1986,4,54727
4001,1987,3,57139
4001,1988,2,58427
4003,1979,11,83499
4003,1980,18,82804
4003,1981,15,85031
4003,1982,20,85168
4003,1983,6,85527
4003,1984,17,87420
4003,1985,13,87537
4003,1986,17,90175
4003,1987,16,92631
4003,1988,17,92223
4003,1989,23,93341
4003,1990,25,93280
4003,1991,25,94215
4003,1992,24,96497
4003,1993,28,99158
4003,1994,22,103831
4003,1995,20,106728
4003,1996,21,106769
4003,1997,28,108407
4003,1998,27,109270
4005,1979,3,72473
4005,1980,7,74205
4005,1981,4,76808
4005,1982,3,78115
4005,1983,2,80049
4005,1984,10,82364
4005,1985,5,83243
4005,1986,5,86153
4005,1987,4,89027
4005,1988,6,91824
4005,1991,10,97569
4005,1998,13,112092
4007,1979,18,35264
4007,1980,6,35783
4007,1981,8,36527
4007,1982,11,37338
4007,1983,8,36846
4007,1984,8,35671
4007,1985,4,35288
4007,1986,15,35959
4007,1987,17,36222
4007,1988,13,36634
4007,1990,10,37481
4007,1992,14,39503
4007,1993,11,40763
4007,1995,17,43523
4007,1996,17,44679
4007,1997,12,45707
4007,1998,14,46460
4009,1979,5,20516
4009,1980,4,22087
4009,1981,8,22318
4009,1982,4,22873
4009,1983,8,22944
4009,1984,5,23429
4009,1985,3,23422
4009,1986,7,23227
4009,1987,4,23990
4009,1988,9,24310
4009,1998,10,31040
4011,1979,1,11982
4011,1980,4,11205
4011,1982,1,11469
4011,1983,1,10397
4011,1984,2,9917
4011,1985,1,8774
4011,1986,3,8102
4011,1987,2,7980
4011,1988,1,7796
4013,1979,331,1402104
4013,1980,355,1452360
4013,1981,382,1504200
4013,1982,325,1546013
4013,1983,343,1592924
4013,1984,424,1660976
4013,1985,437,1748831
4013,1986,420,1820905
4013,1987,389,1901229
4013,1988,401,1953998
4013,1989,439,2001906
4013,1990,402,2017192
4013,1991,419,2081996
4013,1992,435,2149218
4013,1993,451,2229707
4013,1994,436,2339072
4013,1995,466,2454348
4013,1996,450,2553488
4013,1997,517,2649432
4013,1998,531,2748207
4015,1979,14,49945
4015,1980,14,53957
4015,1981,13,56238
4015,1982,24,59729
4015,1983,18,60913
4015,1984,20,63922
4015,1985,19,66929
4015,1986,30,71184
4015,1987,35,72963
4015,1988,27,77575
4015,1989,48,81787
4015,1990,41,87685
4015,1991,48,95616
4015,1992,46,101369
4015,1993,67,107899
4015,1994,48,114512
4015,1995,69,121078
4015,1996,62,126414
4015,1997,63,130115
4015,1998,67,133552
4017,1979,4,65297
4017,1980,5,66530
4017,1981,9,65613
4017,1982,5,65689
4017,1983,10,67634
4017,1984,7,67261
4017,1985,7,69210
4017,1986,4,70940
4017,1987,3,72134
4017,1988,7,72843
4017,1992,11,77927
4017,1994,11,82800
4017,1996,15,87692
4017,1997,12,89824
4019,1979,148,502236
4019,1980,179,510131
4019,1981,167,529244
4019,1982,166,542957
4019,1983,168,555785
4019,1984,149,564374
4019,1985,157,574396
4019,1986,156,591684
4019,1987,139,609240
4019,1988,170,623967
4019,1989,168,629865
4019,1990,177,631154
4019,1991,164,641007
4019,1992,160,657357
4019,1993,175,676671
4019,1994,173,700136
4019,1995,165,720808
4019,1996,172,733949
4019,1997,212,746909
4019,1998,162,759698
4021,1979,21,86783
4021,1980,29,88161
4021,1981,18,89946
4021,1982,35,93421
4021,1983,15,94261
4021,1984,16,96503
4021,1985,29,99120
4021,1986,38,103346
4021,1987,31,106441
4021,1988,29,109106
4021,1989,38,110370
4021,1990,31,110804
4021,1991,28,114747
4021,1992,35,119401
4021,1993,34,124603
4021,1994,33,130452
4021,1995,44,137299
4021,1996,60,143402
4021,1997,55,148872
4021,1998,49,155054
4023,1979,3,19098
4023,1981,2,20087
