FIPS,Year,SuicDeaths,Population
1111,1985,2,18422
1111,1986,4,18365
1111,1987,1,18194
1111,1988,2,18424
1113,1979,3,46238
1113,1980,9,45824
1113,1981,5,45170
1113,1982,5,44946
1113,1983,10,44225
1113,1984,4,44618
1113,1985,7,44699
1113,1986,4,45360
1113,1987,5,45384
1113,1988,8,45095
1113,1991,10,45180
1115,1979,5,39038
1115,1980,5,39672
1115,1981,6,40095
1115,1982,2,40404
1115,1983,2,40728
1115,1984,4,42345
1115,1985,3,43453
1115,1986,6,44012
1115,1987,8,45479
1115,1988,6,45953
1115,1998,12,58817
1117,1979,9,62644
1117,1980,2,64422
1117,1981,6,67329
1117,1982,9,68820
1117,1983,5,70713
1117,1984,6,73711
1117,1985,6,77263
1117,1986,11,80747
1117,1987,9,85910
1117,1988,7,89905
1117,1990,13,96584
1117,1991,14,99778
1117,1992,17,103154
1117,1993,18,108569
1117,1994,14,114076
1117,1995,14,118700
1117,1997,11,127395
1117,1998,12,131470
1119,1979,1,15923
1119,1981,2,16039
1119,1982,2,15972
1119,1983,2,15926
1121,1979,6,70940
1121,1980,8,71113
1121,1981,9,71525
1121,1982,9,71738
1121,1983,6,72367
1121,1984,7,71827
1121,1985,12,71885
1121,1986,5,71856
1121,1987,5,71110
1121,1988,3,70706
1121,1991,13,70884
1121,1992,11,71487
1121,1993,10,72127
1121,1994,11,72607
1121,1995,15,73114
1121,1997,10,74064
1123,1979,3,37280
1123,1980,6,36702
1123,1981,9,36645
1123,1982,2,36251
1123,1983,5,36230
1123,1984,1,36150
1123,1985,5,36239
1123,1986,8,36127
1123,1987,2,36238
1123,1988,3,36247
1123,1991,10,36655
1123,1996,10,38042
1125,1979,21,130969
1125,1980,9,132801
1125,1981,7,133644
1125,1982,17,132173
1125,1983,11,132593
1125,1984,15,133174
1125,1985,11,135339
1125,1986,13,137623
1125,1987,9,139611
1125,1988,19,140922
1125,1989,13,142217
1125,1990,12,143571
1125,1991,14,146317
1125,1993,11,148131
1125,1994,19,149658
1125,1997,14,154217
1125,1998,16,155431
1127,1979,6,65967
1127,1980,6,65417
1127,1981,5,64792
1127,1982,9,64459
1127,1983,11,64070
1127,1984,6,63999
1127,1985,8,64055
1127,1986,17,64618
1127,1987,9,64647
1127,1988,14,64120
1127,1990,11,63578
1127,1991,13,63796
1127,1992,11,63997
1127,1994,13,64507
1127,1995,12,65031
1127,1996,10,65604
1127,1998,12,66137
1129,1979,2,16171
1129,1981,3,16825
1129,1982,2,16831
1129,1983,2,16662
1129,1984,1,16370
1129,1985,1,16248
1129,1986,2,16112
1129,1987,1,16228
1129,1988,2,16121
1131,1979,1,13746
1131,1980,1,13970
1131,1981,2,14043
1131,1984,1,13897
1131,1988,1,13088
1133,1979,2,21390
1133,1980,1,21123
1133,1981,5,21037
1133,1983,3,20762
1133,1985,3,21093
1133,1986,5,20922
1133,1987,2,20621
1133,1988,1,20502
2020,1989,33,223488
2020,1990,20,224251
2020,1991,26,232951
2020,1992,37,243296
2020,1993,29,247526
2020,1994,45,249431
2020,1995,39,248752
2020,1996,38,247012
2020,1997,47,248607
2020,1998,30,252739
2050,1998,12,15439
2090,1994,15,82572
2090,1995,11,80938
2090,1996,16,81823
2090,1997,12,81275
2090,1998,24,82026
2170,1989,11,37952
2170,1993,11,45651
2170,1997,14,52835
2290,1994,13,8414
