FIPS,Year,SubUseDisDeaths,Population
5115,2008,14,57145
5119,1999,47,340638
5119,2000,40,341623
5119,2001,36,342858
5119,2002,51,344202
5119,2003,48,345112
5119,2004,61,346562
5119,2005,71,348109
5119,2006,64,351026
5119,2007,62,352688
5119,2008,64,355696
5125,2001,10,80949
5125,2003,12,83543
5125,2004,11,85675
5125,2005,20,87870
5125,2006,20,90850
5125,2007,13,94151
5125,2008,22,96551
5131,1999,13,106013
5131,2000,19,107711
5131,2001,22,109134
5131,2002,22,109896
5131,2003,14,110416
5131,2004,29,110957
5131,2005,20,112157
5131,2006,28,114175
5131,2007,34,115607
5131,2008,34,116367
5139,2000,10,41827
5139,2006,12,39576
5139,2008,21,39003
5143,1999,10,147326
5143,2000,12,150347
5143,2001,21,155671
5143,2002,18,159303
5143,2003,30,163768
5143,2004,17,169030
5143,2005,19,175861
5143,2006,30,182203
5143,2007,18,186258
5143,2008,18,188666
5145,2007,11,69006
5145,2008,12,70163
6001,1999,217,1356493
6001,2000,230,1371849
6001,2001,100,1396588
6001,2002,238,1388716
6001,2003,232,1380454
6001,2004,269,1372014
6001,2005,286,1367045
6001,2006,284,1370104
6001,2007,322,1380463
6001,2008,275,1401551
6005,2003,10,33781
6005,2004,14,34183
6005,2005,11,34760
6005,2006,11,35076
6005,2007,12,35435
6005,2008,14,34944
6007,1999,30,184695
6007,2000,30,186322
6007,2001,26,189145
6007,2002,68,192033
6007,2003,69,194349
6007,2004,68,195942
6007,2005,52,197515
6007,2006,96,199802
6007,2007,87,200567
6007,2008,91,202295
6009,2001,10,38169
6009,2002,10,39144
6009,2004,12,41203
6009,2005,12,41873
6009,2007,12,42736
6009,2008,10,42639
6013,1999,155,885683
6013,2000,115,896266
6013,2001,102,916891
6013,2002,169,924877
6013,2003,130,931672
6013,2004,170,936097
6013,2005,172,941812
6013,2006,140,943355
6013,2007,194,951166
6013,2008,200,964758
6015,2000,10,25909
6015,2002,13,25729
6015,2003,11,25935
6015,2004,10,26260
6015,2005,17,26585
6015,2008,10,26782
6017,1999,36,146179
6017,2000,23,147917
6017,2001,16,152072
6017,2002,38,155755
6017,2003,41,158551
6017,2004,38,161564
6017,2005,40,164920
6017,2006,50,166646
6017,2007,52,167371
6017,2008,41,168589
6019,1999,148,751998
6019,2000,121,761369
6019,2001,138,773734
6019,2002,189,789764
6019,2003,198,806375
6019,2004,199,819841
6019,2005,201,830335
6019,2006,211,841466
6019,2007,189,853099
6019,2008,199,866497
6021,2006,10,25952
6023,1999,39,119009
6023,2000,43,118762
6023,2001,41,119659
6023,2002,60,120875
6023,2003,85,121756
6023,2004,60,122679
6023,2005,77,123392
6023,2006,67,123938
6023,2007,88,123884
6023,2008,98,124506
6025,1999,35,135326
6025,2000,27,136457
6025,2001,24,137534
6025,2002,23,139269
6025,2003,17,142350
6025,2004,21,145419
