FIPS,Year,InfectDeaths,Population
5033,2004,11,54026
5033,2005,21,54939
5033,2007,11,57165
5035,1999,19,48204
5035,2000,20,48515
5035,2001,24,48614
5035,2002,20,48288
5035,2003,20,47990
5035,2004,19,47979
5035,2005,22,47993
5035,2006,14,48145
5035,2007,18,48247
5035,2008,16,48427
5045,2000,12,82286
5045,2001,17,84985
5045,2002,17,86714
5045,2003,12,89539
5045,2004,19,91979
5045,2005,19,94926
5045,2006,14,98532
5045,2007,18,101138
5045,2008,12,103807
5051,1999,18,78576
5051,2000,24,79433
5051,2001,32,80089
5051,2002,30,80695
5051,2003,35,81611
5051,2004,25,82237
5051,2005,30,83135
5051,2006,22,84915
5051,2007,29,85504
5051,2008,32,86389
5055,2003,10,36147
5055,2005,11,37104
5055,2006,13,37942
5055,2008,15,38710
5057,2004,12,21384
5063,2003,14,32360
5063,2004,13,32684
5063,2005,20,32813
5063,2006,13,33043
5063,2008,16,33452
5069,1999,23,78887
5069,2000,28,78955
5069,2001,11,78025
5069,2002,27,77528
5069,2003,31,76966
5069,2004,30,76357
5069,2005,15,75611
5069,2006,22,75135
5069,2007,24,74032
5069,2008,24,73624
5071,2005,10,22534
5085,1999,11,49324
5085,2001,10,51482
5085,2003,13,53861
5085,2005,13,57550
5085,2006,10,59881
5085,2007,12,61516
5085,2008,12,63173
5093,1999,15,49113
5093,2000,18,49038
5093,2001,22,48135
5093,2002,17,47150
5093,2003,24,45821
5093,2004,18,45105
5093,2005,10,44711
5093,2006,17,44342
5093,2007,23,44255
5093,2008,11,44469
5103,2000,11,26421
5103,2001,11,25780
5103,2004,10,24926
5103,2006,11,24512
5103,2007,12,24312
5107,2001,11,24166
5107,2002,11,23433
5107,2004,11,22547
5107,2005,11,22361
5107,2008,12,20914
5111,1999,10,23828
5111,2007,11,23148
5115,2000,11,51223
5115,2002,10,52153
5115,2003,11,52395
5115,2004,11,53407
5115,2007,11,56415
5115,2008,15,57145
5117,2008,10,8053
5119,1999,83,340638
5119,2000,68,341623
5119,2001,82,342858
5119,2002,91,344202
5119,2003,104,345112
5119,2004,72,346562
5119,2005,97,348109
5119,2006,95,351026
5119,2007,96,352688
5119,2008,89,355696
5123,1999,10,27736
5123,2000,13,27730
5123,2002,12,27481
5123,2006,10,26970
5123,2008,15,26601
5125,1999,12,77949
5125,2000,16,79240
5125,2001,22,80949
5125,2002,18,82203
5125,2003,19,83543
5125,2004,17,85675
5125,2005,26,87870
5125,2006,19,90850
5125,2007,14,94151
5125,2008,25,96551
5131,1999,22,106013
5131,2000,23,107711
5131,2001,20,109134
5131,2002,18,109896
5131,2003,27,110416
5131,2004,20,110957
5131,2005,24,112157
5131,2006,31,114175
5131,2007,20,115607
5131,2008,24,116367
5139,1999,11,41923
5139,2000,19,41827
5139,2002,19,41177
5139,2003,15,40741
5139,2004,15,40225
5139,2005,14,39701
5139,2006,22,39576
5139,2007,28,39044
5139,2008,13,39003
5143,1999,19,147326
5143,2000,14,150347
5143,2001,26,155671
5143,2002,21,159303
5143,2003,29,163768
5143,2004,16,169030
5143,2005,23,175861
5143,2006,28,182203
5143,2007,21,186258
5143,2008,22,188666
5145,1999,14,61974
5145,2000,11,62720
5145,2002,13,64355
5145,2003,15,65008
5145,2004,13,66055
5145,2005,20,66932
5145,2008,18,70163
6001,1999,245,1356493
6001,2000,218,1371849
6001,2001,233,1396588
6001,2002,246,1388716
6001,2003,248,1380454
6001,2004,242,1372014
6001,2005,245,1367045
6001,2006,236,1370104
6001,2007,222,1380463
6001,2008,224,1401551
